rank,product_a_id,product_a_title,product_a_sku,product_a_price,product_b_id,product_b_title,product_b_sku,product_b_price,frequency,combined_price
1,"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-VT-XI",31349,"MLA2213688968","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X20 Kleur","KL-FIL-100M-XI",11900,482,43249
2,"MLA1513381865","Lápiz 3d Con Batería Filamentos Baja Temperatura Niños Kleur","KL-3DPEN-BL-XI",30689,"MLA2213649534","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X10 Kleur Surtidos","KL-FIL-50M-XI",9900,271,40589
3,"MLA1463837365","Scanner Escaner Automotriz Lectura Bluetooth Obd2 Obdii V2.1","OBDII-XI",3681,"MLA1948049548","Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5","BIG-OE327-XI",6445,51,10126
4,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-SV-AN-AL-6-10-XI",3586,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWBLM6-10-XI",3586,46,7172
5,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-PK-AN-AL-6-10-XI",3797,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWVTM6-10-XI",3797,46,7594
6,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11399,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8549,45,19948
7,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWGRM6-10-XI",3797,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWBLM6-10-XI",3797,41,7594
8,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11999,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,18,20499
9,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWRDM6-10-XI",3797,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3499,17,7296
10,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3499,"MLA2007621364","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 D1-spec","D1-FWVTM6-10-XI",3797,14,7296
11,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8999,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,13,17499
12,"MLA1993231148","Marcadores Doble Punta De Alcohol 60u  Estuche + Blender","KL-TOUCH-60-KIT-XI",17820,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u  Estuche + Blender","KL-TOUCH-80-KIT-XI",23700,12,41520
13,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BK-AN-AL-6-10-XI",3898,"MLA2007555334","Arandela Anodizada Aluminio Moto Auto 6mm M6 X8 Hp Factory","HP-FWBLM6-8-XI",3463,12,7361
14,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u Estuche Base + Blender","LU-MARKER80-WH-B-XI",19499,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8999,11,28498
15,"MLA1432575309","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-GD-AN-AL-6-10-XI",3758,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BL-AN-AL-6-10-XI",3758,10,7517
16,"MLA1458178597","Scanner Automotriz Mini Multimarca Oe Obd2 Bluetooth Oe","OE-327-XI",5934,"MLA1948049548","Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5","BIG-OE327-XI",6445,10,12379
17,"MLA1549659105","Marcadores Acrilico Doble Punta 80u Pincel + Blanco Kleur Surtido Acrylic 10 Puntas De Repuesto Valija","KL-ACRY80-XI",32999,"MLA2414330490","Pinceles X 20 Pintura Acrílico Acuarela Óleo Arte Kleur Naranja Oscuro","KL-BRU20-XI",8649,9,41648
18,"MLA1993231148","Marcadores Doble Punta De Alcohol 60u Estuche Base + Blender","LU-MARKER60-WH-B-XI",14249,"MLA2073745534","Marcadores Blancos Doble Punta De Alcohol 100u + Blender","LU-MARKER100-WH-B-XI",23655,9,37904
19,"MLA2072511470","Marcadores Doble Punta De Alcohol 100u Estuche","LU-MARKER100-XI",19475,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8549,8,28024
20,"MLA1458178597","Scanner Automotriz Mini Multimarca Oe Obd2 Bluetooth Oe","OE-327-XI",5800,"MLA1463837365","Scanner Escaner Automotriz Lectura Bluetooth Obd2 Obdii V2.1","OBDII-XI",3599,8,9399
21,"MLA1510041187","Marcadores Blancos Doble Punta De Alcohol 60u","LU-MARKER60-WH-B-XI",11699,"MLA2177733812","Marcadores Blancos Doble Punta De Alcohol 100u","LU-MARKER100-WH-B-XI",21912,8,33611
22,"MLA2072511470","Marcadores Doble Punta De Alcohol 100u Estuche","LU-MARKER100-XI",19475,"MLA2073745530","Marcadores Blancos Doble Punta De Alcohol 80u + Blender","LU-MARKER80-WH-B-XI",15794,8,35269
23,"MLA1832618412","Tuercas De Rueda Aluminio D1 Spec 12x1.25 Lug Nuts Jdm X20","D1SPEC-TRA-BK-12X125-XI",31348,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-SV-AN-AL-6-10-XI",3586,7,34934
24,"MLA1510041187","Marcadores Blancos Doble Punta De Alcohol 60u","LU-MARKER60-WH-B-XI",11699,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,7,20199
25,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-GR-AN-AL-6-10-XI",4640,"MLA1953470844","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Negro Jdm","ARAN-BK-AN-AL-6-10-XI",4640,7,9280
26,"MLA2334301998","Set Arte 288 Pcs Lápices Fibras Crayones Acuarelas Estuche Lu-art002","LU-ART002-XI",30689,"MLA2414330490","Pinceles X 20 Pintura Acrílico Acuarela Óleo Arte Kleur Naranja Oscuro","KL-BRU20-XI",8649,7,39338
27,"MLA1432804541","Tuercas De Rueda Aluminio D1 Spec 12x1.25 Lug Nuts Jdm X20","D1SPEC-TRA-BL-12X125-XI",27500,"MLA1432829409","Tuercas De Rueda Aluminio D1 Spec 12x1.50 Lug Nuts Jdm X20","D1SPEC-TRA-VT-12X15-XI",27500,7,55000
28,"MLA1434919943","Remera Algodón Ftx Blanca Negra Manga Corta Connect Unisex","FTX-REMERA-3-B-M-XI",17710,"MLA1826404978","Remera La Epicante 2 Negra Algodón Manga Corta Unisex","FTX-EPICANTE-1-XL-XI",17710,6,35420
29,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u Estuche Base + Blender","LU-MARKER80-WH-B-XI",15794,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11999,6,27793
30,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",9689,"MLA2072601422","Marcadores Doble Punta De Alcohol 80u Estuche","LU-MARKER80-XI",14155,6,23844
31,"MLA2072335180","Marcadores Punta De Alcohol 60u Estuche","LU-MARKER60-XI",11999,"MLA2072511470","Marcadores Doble Punta De Alcohol 100u Estuche","LU-MARKER100-XI",19475,6,31474
32,"MLA1953470844","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Negro Jdm","ARAN-BK-AN-AL-6-10-XI",3898,"MLA2007219190","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Hp Factory","HP-FWRDM6-10-XI",3898,6,7795
33,"MLA1401236168","Bujía Iridium Grado 7 Bkr7eix Ngk X 4 Unidades","2667x4-XI",45264,"MLA1880508252","Kit X4 Bobina Roja Red Audi Vw 2.0 Tsi Tfsi Vento Gti Oe","OE-RC-20T-X4-XI",147250,6,192514
34,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8500,"MLA2177733812","Marcadores Blancos Doble Punta De Alcohol 100u","LU-MARKER100-WH-B-XI",21912,5,30412
35,"MLA1432829409","Tuercas De Rueda Aluminio D1 Spec 12x1.50 Lug Nuts Jdm X20","D1SPEC-TRA-VT-12X15-XI",27225,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BL-AN-AL-6-10-XI",3758,5,30983
36,"MLA2177915480","Marcadores Blancos Doble Punta De Alcohol 48u","LU-MARKER48-WH-B-XI",12999,"MLA2178091878","Marcadores Blancos Doble Punta De Alcohol 36u","LU-MARKER36-WH-B-XI",11600,5,24599
37,"MLA1453443607","Sonda Lambda Para Chevrolet Corsa 1.6 1.4 De 1 Cable Oe","OE-OSENCH-XI",24999,"MLA1814246798","Sensor Map Chevrolet Corsa 1.4 1.6 Renault Clio Megane 2.0","OE-MAP-002-XI",24999,5,49998
38,"MLA2213649534","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X10 Kleur - Surtidos","KL-FIL-50M-XI",9900,"MLA2213688968","Filamento Para Lapiz 3d Pcl Baja Temperatura Pack X20 Kleur - Surtidos","KL-FIL-100M-XI",14900,5,24800
39,"MLA2072588392","Marcadores Doble Punta De Alcohol 48u Estuche","LU-MARKER48-XI",8549,"MLA2073745534","Marcadores Blancos Doble Punta De Alcohol 100u + Blender","LU-MARKER100-WH-B-XI",23655,5,32204
40,"MLA1432575309","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BK-AN-AL-6-10-XI",4219,"MLA1432804541","Tuercas De Rueda Aluminio D1 Spec 12x1.25 Lug Nuts Jdm X20","D1SPEC-TRA-RD-12X125-XI",22990,5,27209
41,"MLA1474966199","Tapa Valvulas Volkswagen Amarok Q7 3.0 V6 Lado Conductor Oe","OE-EVC009-XI",727362,"MLA1474981121","Tapa Valvulas Volkswagen Amarok Q7 3.0 V6 Acompañante Oe","OE-EVC010-XI",725400,5,1452762
42,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","JDM-FWBKM6-10-XI",3900,"MLA2007516738","Arandela Anodizada Aluminio Moto Auto 6mm M6 X6 Hp Factory","HP-FWRDM6-6-XI",3463,4,7363
43,"MLA1366755415","Bujía Iridium Grado 8 Bkr8eix Ngk X 4 Unidades","2668x4-XI",68720,"MLA1880508252","Kit X4 Bobina Roja Red Audi Vw 2.0 Tsi Tfsi Vento Gti Oe","OE-RC-20T-X4-XI",147250,4,215970
44,"MLA1948049548","Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5","BIG-OE327-XI",6584,"MLA2007516738","Arandela Anodizada Aluminio Moto Auto 6mm M6 X6 Hp Factory","HP-FWBLM6-6-XI",3290,4,9873
45,"MLA1536334669","Spray Y Vertedor Aceite Aceto 2 En 1 Vidrio Air Fryer 450cc","DO-OIL450GR-XI",9810,"MLA2361075082","Parasol De Auto Paraguas Parabrisas Cubre Sol Tirador Oe","OE-SS001-XI",9483,4,19293
46,"MLA1452011783","Enfriador De Gases Egr Ford Ranger Transit 2.2 3.2 Tdci Oe","OE-EGR001-XI",149598,"MLA1482606823","Valvula Egr Ford Ranger Transit Puma 3.2 - 2.2 Oe","OE-EGR005-XI",251900,4,401498
47,"MLA1970430392","Sujetador Paragolpes Universal Auto Aluminio Jdm Colores","MHP4111-QUICKRF-BL-XI",4670,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BL-AN-AL-6-10-XI",3797,4,8467
48,"MLA2072626986","Marcadores Doble Punta De Alcohol 36u Estuche","LU-MARKER36-XI",8075,"MLA2073641834","Marcadores Blancos Doble Punta De Alcohol 48u + Blender","LU-MARKER48-WH-B-XI",12349,4,20424
49,"MLA1832278350","Tuercas De Rueda Aluminio D1 Spec 12x1.50 Lug Nuts Jdm X20","D1SPEC-TRA-BK-12X15-XI",30688,"MLA2007146596","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","JDM-FWBKM6-10-XI",3900,4,34588
50,"MLA1432575309","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-GR-AN-AL-6-10-XI",4219,"MLA1953470844","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Negro Jdm","ARAN-BK-AN-AL-6-10-XI",2953,4,7172
